country,question_id,question_text,response,situacao_resposta,evidence_count,evidence_classification,validation_status,source_file
china,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","Não foram encontradas evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO nos documentos disponíveis. Portanto, não é possível fornecer uma resposta com as informações solicitadas. 

Se precisar de mais informações ou outra consulta, estou à disposição!",candidate,0,,candidate,analysis/countries/china/respostas.csv
coreia-do-sul,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Coreia do Sul organiza suas competências de Computação e Educação Digital em seu currículo através da distribuição de materiais didáticos digitais e programas de educação de software. O currículo revisado de 2015 incluiu a educação em software para todas as escolas, destacando o uso de tecnologias digitais, como a realidade aumentada (AR) e a virtual (VR), para enriquecer os materiais de aprendizagem. Além disso, a formação contínua de professores e a adaptação de conteúdo às novas tecnologias são abordagens centrais para garantir que os alunos desenvolvam competências digitais eficazes.",candidate,2,curricular,candidate,analysis/countries/coreia-do-sul/respostas.csv
coreia-do-sul,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem a promoção da literacia mediática e a educação digital, que enfatizam o pensamento crítico, a compreensão das interdependências locais e globais, e o desenvolvimento de habilidades para a resolução de problemas. Por meio de simposições e projetos, busca-se fomentar a cidadania digital que prepara os alunos para serem cidadãos democráticos no ambiente digital.",candidate,3,"{'curricular': 'Evidências relacionadas à educação e cidadania digital', 'policy': 'Evidências de políticas nacionais para educação', 'inclusion': 'Evidências de inclusão e suporte educacional'}",candidate,analysis/countries/coreia-do-sul/respostas.csv
estonia,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Estônia organiza suas competências de Computação e Educação Digital em seus documentos curriculares através de um conjunto de habilidades que os alunos devem desenvolver, incluindo o uso de e-educação, proteção da identidade digital, criação e uso de conteúdos digitais, e compreensão dos princípios de segurança digital e ética. Estes tópicos são abordados de maneira integrada no currículo nacional. Os alunos aprendem sobre o funcionamento do estado digital da Estônia, como usar serviços e-estado e a importância da segurança na internet.",candidate,2,Currículo,candidate,analysis/countries/estonia/respostas.csv
estonia,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global incluem o desenvolvimento de competências como pensamento crítico, a compreensão de questões locais e globais, a interdependência e a habilidade de resolver problemas. O currículo enfatiza a importância de formar cidadãos ativos e responsáveis, que se envolvem com a sociedade, respeitam a diversidade e utilizam o conhecimento para decisões informadas.",candidate,2,curricular,candidate,analysis/countries/estonia/respostas.csv
eua,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Os Estados Unidos definem e organizam as competências de Computação e Educação Digital no K–12 Computer Science Framework, que enfatiza a importância do pensamento computacional como uma habilidade essencial para todos os alunos, e não apenas para os cientistas da computação.",candidate,3,o framework educacional,candidate,analysis/countries/eua/respostas.csv
eua,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem práticas que promovem o pensamento crítico, a compreensão de questões locais e globais, a interdependência e a resolução de problemas através do ensino de ciência da computação. Os alunos são encorajados a discutir eventos atuais e a promover suas necessidades como usuários finais diversos durante o processo de design.",candidate,2,curricular,candidate,analysis/countries/eua/respostas.csv
finlandia,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Finlândia organiza as competências de Computação e Educação Digital através de um currículo nacional que enfatiza áreas transversais de competência, incluindo competência em TIC. O currículo reforça a integração entre disciplinas e o aprendizado colaborativo, promovendo interações significativas e a educação multiletrada.",candidate,2,currículo e competências,candidate,analysis/countries/finlandia/respostas.csv
finlandia,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global incluem o desenvolvimento do pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas. O currículo enfatiza a importância de um ambiente de aprendizado versátil, o diálogo entre disciplinas e a participação ativa dos alunos, promovendo competências transversais como pensamento e aprendizado, competência cultural, e participação na construção de um futuro sustentável.",candidate,3,Curricular,candidate,analysis/countries/finlandia/respostas.csv
gana,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Gana organiza as competências de Computação e Educação Digital em seus documentos curriculares através de padrões de conteúdos e indicadores específicos que enfatizam a prática de habilidades digitais, como a utilização de ferramentas tecnológicas, a literatura digital, e a colaboração. O currículo prioriza competência digital, criatividade, inovação e comunicação, preparando os alunos para resolver problemas e aplicar conhecimentos no cotidiano.",candidate,3,Informativa,candidate,analysis/countries/gana/respostas.csv
gana,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem competências como pensamento crítico, resolução de problemas, e compreensão de questões locais e globais.",candidate,3,Evidência curricular confirmada,candidate,analysis/countries/gana/respostas.csv
hong-kong,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"As definido nos documentos curriculares de Hong Kong, as competências de Computação e Educação Digital são organizadas em várias áreas com ênfase em sistemas de informação, processamento de dados, design de algoritmos, e implicações sociais do uso de TIC. O currículo inclui módulos sobre 'Processamento de Informação', 'Organização e Controle de Dados', e 'Representação de Dados', entre outros. Os estudantes aprendem a manipular e analisar dados, compreender conceitos fundamentais de sistemas de informação e discutir questões éticas relacionadas ao uso de TIC.",candidate,3,curricular,candidate,analysis/countries/hong-kong/respostas.csv
hong-kong,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO em Hong Kong incluem o desenvolvimento de habilidades de pensamento crítico, a compreensão de questões locais e globais, a interdependência e a resolução de problemas através de atividades de aprendizado integradas, abordagens colaborativas e discussões sobre temas relevantes.",candidate,4,curricular,candidate,analysis/countries/hong-kong/respostas.csv
irlanda,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Na Irlanda, as competências de Computação e Educação Digital são definidas e organizadas no currículo do Leaving Certificate. O currículo enfatiza o desenvolvimento de habilidades-chave, como pensamento crítico e criativo, comunicação e colaboração. Os alunos são incentivados a trabalhar em projetos colaborativos, desenvolver habilidades para resolver problemas e aplicar conhecimento em situações práticas. As competências são estruturadas em estratos que incluem conceitos principais como abstração, algoritmos, sistemas computacionais, dados e avaliação.",candidate,3,Documentação Curricular,candidate,analysis/countries/irlanda/respostas.csv
irlanda,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","{'pensamento_critico': {'description': 'O pensamento crítico é desenvolvido através da identificação, análise e desconstrução de problemas para explorar opções e resolver desafios.', 'evidence': 'Apart from computational thinking, students reflect critically on the forms of thinking and values that shape their own perceptions.'}, 'compreensao': {'description': 'A compreensão de questões locais e globais é fomentada por meio da exploração do impacto das tecnologias nas sociedades e culturas.', 'evidence': 'Students will explore the role that adaptive technology can play in the lives of people with special needs.'}, 'interdependencia': {'description': 'A interdependência é enfatizada ao discutir como a tecnologia influencia a vida pessoal e social.', 'evidence': 'Discuss the complex relationship between computing technologies and society including issues of ethics.'}, 'resolucao_de_problemas': {'description': 'A resolução de problemas envolve a aplicação de habilidades de pensamento computacional para formular e avaliar soluções.', 'evidence': 'Use computational thinking to analyse problems, and to design, develop and evaluate solutions.'}}",candidate,4,Relevant,candidate,analysis/countries/irlanda/respostas.csv
japao,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Japão organiza as competências de Computação e Educação Digital em seus documentos curriculares de forma a desenvolver habilidades de programação, manipulação de dados e pensamento crítico, enfatizando a importância da colaboração e uso ético da tecnologia.",candidate,3,Currículo,candidate,analysis/countries/japao/respostas.csv
japao,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem o desenvolvimento de pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas. Os alunos são incentivados a estudar a história e a interrelação entre eventos e contextos globais, utilizando habilidades de análise e expressão para abordar problemas contemporâneos.",candidate,3,Evidência Curricular,candidate,analysis/countries/japao/respostas.csv
nova-zelandia,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Nova Zelândia organiza as competências de Computação e Educação Digital em seu currículo por meio de um modelo de aprendizagem que integra práticas tecnológicas, conhecimento tecnológico e a natureza da tecnologia. O currículo é estruturado com objetivos de aprendizado específicos para as áreas tecnológicas, incluindo tecnologias digitais e pensamento computacional. As escolas têm autonomia para desenvolver seus próprios currículos tecnológicos, promovendo a inter-relação entre as áreas de conhecimento e facilitando oportunidades de aprendizagem interdisciplinar. A implementação é baseada em planos estratégicos que priorizam a aprendizagem digital, compartilhando informações com a comunidade escolar e promovendo o desenvolvimento profissional contínuo dos professores.",candidate,2,Curricular,candidate,analysis/countries/nova-zelandia/respostas.csv
nova-zelandia,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global incluem o desenvolvimento do pensamento crítico, a compreensão de questões locais e globais, a interdependência e a resolução de problemas, promovendo um aprendizado ativo e a utilização de tecnologias digitais como parte do currículo.",candidate,2,curricular,candidate,analysis/countries/nova-zelandia/respostas.csv
quenia,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"No Quênia, as competências de Computação e Educação Digital estão integradas no currículo básico, enfatizando a alfabetização digital como uma habilidade fundamental para os cidadãos. O currículo orienta que a alfabetização digital deve ser aplicada em todas as áreas de aprendizado, promovendo uma abordagem holística à educação.",candidate,2,documento curricular,candidate,analysis/countries/quenia/respostas.csv
quenia,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem o desenvolvimento de habilidades de pensamento crítico e resolução de problemas, bem como a compreensão de questões locais e globais através de aprendizagem baseada em investigação e ênfase em valores. Além disso, as diretrizes curriculares enfatizam a importância da educação para a cidadania global, abordando questões contemporâneas relevantes.",candidate,3,curricular,candidate,analysis/countries/quenia/respostas.csv
reino-unido,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"No Reino Unido, as competências de Computação e Educação Digital são organizadas em diferentes estágios do currículo nacional. O currículo enfatiza o pensamento computacional e a criatividade, integrado a disciplinas como matemática, ciência e tecnologia. Os alunos são ensinados a compreender os princípios da ciência da computação e a utilizar a tecnologia da informação para criar programas e sistemas. Desde as etapas iniciais, eles devem aprender sobre algoritmos, programações simples e o uso responsável da tecnologia, culminando em uma educação que promove a literacia digital necessária para o futuro mercado de trabalho.",candidate,2,currículo,candidate,analysis/countries/reino-unido/respostas.csv
reino-unido,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem o desenvolvimento de habilidades de pensamento crítico, a compreensão de questões tanto locais quanto globais, e a resolução de problemas por meio do pensamento computacional. Os currículos de computação em todos os estágios enfatizam a importância da criatividade e do raciocínio lógico na análise de problemas e na criação de soluções.",candidate,2,Educação,candidate,analysis/countries/reino-unido/respostas.csv
ruanda,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Ruanda, as competências de Computação e Educação Digital são organizadas em um currículo baseado em competências, que atende as necessidades dos alunos e é alinhado com o desenvolvimento socioeconômico do país. O currículo de TIC (Tecnologias da Informação e Comunicação) visa equipar os alunos com conhecimentos, habilidades e valores relevantes para o mercado de trabalho, bem como promover o pensamento crítico e a resolução de problemas.",candidate,3,curriculum analysis,candidate,analysis/countries/ruanda/respostas.csv
ruanda,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem o desenvolvimento do pensamento crítico, habilidades de comunicação e resolução de problemas por meio do uso de tecnologia da informação e comunicação (TIC). O currículo enfatiza a importância de desenvolver competências como pensamento crítico, habilidades de inovação e pesquisa em grupo para compreender questões locais e globais.",candidate,2,Curricular,candidate,analysis/countries/ruanda/respostas.csv
singapura,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Singapura define e organiza as competências de Computação e Educação Digital em seus documentos curriculares em três dimensões principais: 'Computador como Ciência', 'Computador como Ferramenta', e 'Computador na Sociedade'. Essas dimensões abordam aspectos técnicos, práticos e éticos da computação. O 'Pensamento Computacional' é um dos focos centrais da educação em computação, visando desenvolver habilidades de resolução de problemas através de métodos sistemáticos e algoritmos.",candidate,2,informativa,candidate,analysis/countries/singapura/respostas.csv
singapura,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO em Singapura incluem o desenvolvimento do pensamento crítico e computacional, que facilita a análise de problemas e a busca de soluções. Os alunos são ensinados a usar raciocínio lógico e algorítmico, promovendo a compreensão de questões locais e globais e a interdependência ao discutir tópicos como proteção de dados e ética no ciberespaço.",candidate,2,curricular,candidate,analysis/countries/singapura/respostas.csv
suica,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Suíça organiza as competências de Computação e Educação Digital em seus documentos curriculares de maneira a promover habilidades como a pesquisa, análise e criação de conteúdos digitais. É enfatizada a cidadania digital e a utilização responsável de tecnologias em diversos contextos educativos.",candidate,3,Currículo,candidate,analysis/countries/suica/respostas.csv
suica,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem o desenvolvimento do pensamento crítico, análise de informações, uso responsável de tecnologias e a capacidade de resolver problemas em contextos locais e globais.",candidate,3,curricular,candidate,analysis/countries/suica/respostas.csv
taiwan,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Taiwan, a definição e organização das competências de Computação e Educação Digital nos documentos curriculares se concentram em uma abordagem integrada ao desenvolvimento de habilidades tecnológicas e do pensamento crítico. Os currículos são estruturados para preparar os alunos no uso efetivo da tecnologia e no desenvolvimento de uma mentalidade inovadora, além de enfatizar a importância da colaboração e da comunicação.",candidate,2,curricular,candidate,analysis/countries/taiwan/respostas.csv
taiwan,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO em Taiwan incluem o desenvolvimento do pensamento crítico, a compreensão de questões locais e globais, interdependência e resolução de problemas. Os currículos enfatizam a importância da análise crítica e da interdependência social, promovendo habilidades necessárias para resolver desafios contemporâneos.",candidate,2,curricular evidence,candidate,analysis/countries/taiwan/respostas.csv
uruguai,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Uruguai organiza as competências de Computação e Educação Digital por meio do Plan CEIBAL e das diretrizes curriculares que promovem habilidades de comunicação, pensamento crítico e uso responsável da tecnologia. As competências são estruturadas para permitir que os alunos selecionem, analisem e apresentem informações digitalmente, estimulando tanto o aprendizado individual quanto o trabalho em grupo.",candidate,2,competências de Computação e Educação Digital,candidate,analysis/countries/uruguai/respostas.csv
uruguai,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","[{'document_id': 'DISC-4733A12C-03__uruguai_tecnologias-digitales_2023.pdf', 'page': 1, 'original_excerpt': 'Contribuye al desarrollo de las competencias generales del MCN: Pensamiento crítico, Pensamiento computacional, Ciudadanía local, global y digital.', 'classification': 'curricular evidence', 'validation_status': 'valid'}, {'document_id': 'DISC-4733A12C-03__uruguai_tecnologias-digitales_2023.pdf', 'page': 1, 'original_excerpt': 'CE1. Selecciona, analiza y resignifica la información y sus formas de representación, haciendo uso de las tecnologías o dispositivos digitales, mediante el trabajo grupal e individual para expresarse o desarrollar el espíritu crítico y reflexivo.', 'classification': 'curricular evidence', 'validation_status': 'valid'}, {'document_id': 'DISC-4733A12C-02__uruguai_plan-ceibal-in-uruguay.pdf', 'page': 1, 'original_excerpt': 'El uso de las TIC en la educación podría ser adoptado como un indicador adicional para medir la calidad de la educación en el marco del Índice de Desarrollo Humano.', 'classification': 'curricular evidence', 'validation_status': 'valid'}]",candidate,2,curricular evidence,candidate,analysis/countries/uruguai/respostas.csv
