country,country_code,file,document_id,role,registry_status,reconciliation_decision,reason,eligible_extension,source_path
coreia-do-sul,KR,coreia-do-sul_keris-white-paper-software-education_2018.pdf,KR_001,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/coreia-do-sul/coreia-do-sul_keris-white-paper-software-education_2018.pdf
estonia,EE,estonia_informatics_appendix_10_2023.pdf,EU-EE-02,primary,validated,validated,declared_in_registry,yes,corpus/estonia/estonia_informatics_appendix_10_2023.pdf
estonia,EE,estonia_national_curriculum_basic_schools_2026.pdf,EU-EE-01,primary,validated,validated,declared_in_registry,yes,corpus/estonia/estonia_national_curriculum_basic_schools_2026.pdf
eua,US,eua_k12-computer-science-framework_2016.pdf,US_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/eua/eua_k12-computer-science-framework_2016.pdf
finlandia,FI,finlandia_new-national-core-curriculum-basic-education_2016.pdf,FI_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/finlandia/finlandia_new-national-core-curriculum-basic-education_2016.pdf
gana,GH,gana_computing-common-core-programme-curriculum_2023.pdf,GH_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/gana/gana_computing-common-core-programme-curriculum_2023.pdf
gana,GH,gana_computing-primary-b4-b6_2019.pdf,GH_002,primary,pending_review,pending_review,declared_in_registry,yes,corpus/gana/gana_computing-primary-b4-b6_2019.pdf
hong-kong,HK,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,HK_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/hong-kong/hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf
hong-kong,HK,hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,HK_002,primary,pending_review,pending_review,declared_in_registry,yes,corpus/hong-kong/hong-kong_ict-curriculum-and-assessment-guide_2017.pdf
irlanda,IE,irlanda_computer-science-curriculum-specification_2018.pdf,IE_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/irlanda/irlanda_computer-science-curriculum-specification_2018.pdf
japao,JP,japao_high-school-curriculum-guidelines_2022.pdf,JP_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/japao/japao_high-school-curriculum-guidelines_2022.pdf
japao,JP,japao_high-school-information-commentary_2022.pdf,JP_002,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/japao/japao_high-school-information-commentary_2022.pdf
nova-zelandia,NZ,nova-zelandia_dt-implementation-support-tool_2020.pdf,NZ_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/nova-zelandia/nova-zelandia_dt-implementation-support-tool_2020.pdf
nova-zelandia,NZ,nova-zelandia_now-underway-dt-implementation_2020.pdf,NZ_002,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/nova-zelandia/nova-zelandia_now-underway-dt-implementation_2020.pdf
quenia,KE,quenia_basic-education-curriculum-framework_2017.pdf,KE_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/quenia/quenia_basic-education-curriculum-framework_2017.pdf
quenia,KE,quenia_standards-digital-content-course-materials_cbc_2018.pdf,KE_002,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/quenia/quenia_standards-digital-content-course-materials_cbc_2018.pdf
reino-unido,GB,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,UK_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/reino-unido/reino-unido_computing-curriculum_ks1-ks2_2014.pdf
reino-unido,GB,reino-unido_computing-curriculum_ks3-ks4_2014.pdf,UK_002,primary,pending_review,pending_review,declared_in_registry,yes,corpus/reino-unido/reino-unido_computing-curriculum_ks3-ks4_2014.pdf
ruanda,RW,ruanda_ict-syllabus.pdf,RW_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/ruanda/ruanda_ict-syllabus.pdf
singapura,SG,7155_y25_sy.pdf,SG_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/7155_y25_sy.pdf
singapura,SG,denitradu_olevelcomputingteach.pdf,SG_002,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/denitradu_olevelcomputingteach.pdf
singapura,SG,ethos da profissão de ensino_singapura.pdf,SG_003,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/ethos da profissão de ensino_singapura.pdf
singapura,SG,framework and guidelines _ moe - nurturing early learners portal_singapura rever.pdf,SG_004,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/framework and guidelines _ moe - nurturing early learners portal_singapura rever.pdf
singapura,SG,inteligência artificial na educação _ moe_singapura.pdf,SG_005,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/inteligência artificial na educação _ moe_singapura.pdf
singapura,SG,mext_ visão geral_.pdf,SG_006,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/mext_ visão geral_.pdf
singapura,SG,moeict guidelines_final_edited_singapura.pdf,SG_007,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/moeict guidelines_final_edited_singapura.pdf
singapura,SG,moeict guidelines_final_edited_tecnologia_singapura.pdf,SG_008,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/moeict guidelines_final_edited_tecnologia_singapura.pdf
singapura,SG,nel framework 2022_v2_curriculo_singapura_2022.pdf,SG_009,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/nel framework 2022_v2_curriculo_singapura_2022.pdf
singapura,SG,nel framework 2022_v2_singapura.pdf,SG_010,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/nel framework 2022_v2_singapura.pdf
singapura,SG,o modelo 'linha dura' de educação que pôs um pequeno país asiático no topo de ranking mundial - bbc news brasil_singapura.pdf,SG_011,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/o modelo 'linha dura' de educação que pôs um pequeno país asiático no topo de ranking mundial - bbc news brasil_singapura.pdf
singapura,SG,o-level-computing-teaching-and-learning-syllabus.pdf,SG_012,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/o-level-computing-teaching-and-learning-syllabus.pdf
singapura,SG,pdpc _ singapore’s approach to ai governance_singapura.pdf,SG_013,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/pdpc _ singapore’s approach to ai governance_singapura.pdf
singapura,SG,sgmodelaigovframework2_singapura.pdf,SG_014,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/sgmodelaigovframework2_singapura.pdf
singapura,SG,singapura_e_brasil_diretrizes_de_computação.pdf,SG_015,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/singapura_e_brasil_diretrizes_de_computação.pdf
singapura,SG,singapura_g3-computing-syllabus_2024.pdf,SG_016,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/singapura_g3-computing-syllabus_2024.pdf
singapura,SG,singapura_h2-computing-syllabus.pdf,SG_017,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/singapura_h2-computing-syllabus.pdf
singapura,SG,singapura_o-level-computing-syllabus_2021.pdf,SG_018,primary,pending_review,pending_review,declared_in_registry,yes,corpus/singapura/singapura_o-level-computing-syllabus_2021.pdf
suica,CH,"en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf",CH_001,primary,pending_review,pending_review,declared_in_registry,yes,"corpus/suica/en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf"
suica,CH,"tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf",CH_002,complementary,pending_review,pending_review,declared_in_registry,yes,"corpus/suica/tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf"
suica,CH,"zh_de_modul_mi_suíça alemã — lehrplan 21, medien und informatik.pdf",CH_003,complementary,pending_review,pending_review,declared_in_registry,yes,"corpus/suica/zh_de_modul_mi_suíça alemã — lehrplan 21, medien und informatik.pdf"
taiwan,TW,taiwan_technology-domain-information-technology_2019.pdf,TW_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/taiwan/taiwan_technology-domain-information-technology_2019.pdf
uruguai,UY,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,UY_001,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/uruguai/uruguai_en-el-camino-del-plan-ceibal_2009.pdf
uruguai,UY,uruguai_plan-ceibal-in-uruguay.pdf,UY_002,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/uruguai/uruguai_plan-ceibal-in-uruguay.pdf
uruguai,UY,uruguai_tecnologias-digitales_2023.pdf,UY_003,primary,pending_review,pending_review,declared_in_registry,yes,corpus/uruguai/uruguai_tecnologias-digitales_2023.pdf
