country,question_id,evidence_number,document_id,document,page,original_text,classification,evidence_validation_status
estonia,Q01,2,EU-EE-01__estonia_national_curriculum_basic_schools_2026.pdf,EU-EE-01__estonia_national_curriculum_basic_schools_2026.pdf,2,,Currículo,Validado
estonia,Q06,1,EU-EE-01__estonia_national_curriculum_basic_schools_2026.pdf,EU-EE-01__estonia_national_curriculum_basic_schools_2026.pdf,2,,curricular,validated
estonia,Q06,2,EU-EE-01__estonia_national_curriculum_basic_schools_2026.pdf,EU-EE-01__estonia_national_curriculum_basic_schools_2026.pdf,4,,curricular,validated
eua,Q01,1,DISC-F97E2F85-01__eua_k12-computer-science-framework_2016.pdf,,70,"Computational thinking is a fundamental skill for everyone, not just for computer scientists.",definição,confirmado
eua,Q01,2,DISC-F97E2F85-01__eua_k12-computer-science-framework_2016.pdf,,68,Computational thinking refers to the thought processes involved in expressing solutions as computational steps or algorithms that can be carried out by a computer.,definição,confirmado
eua,Q01,3,DISC-F97E2F85-01__eua_k12-computer-science-framework_2016.pdf,,71,The framework is grounded in the belief that computer science offers unique opportunities for developing computational thinking.,fundamentação,confirmado
eua,Q06,1,DISC-F97E2F85-01__eua_k12-computer-science-framework_2016.pdf,,,Course activities could include critical discussion of current events that demonstrate the pervasiveness of computing and the ways these events connect to the relevant concepts and practices in the framework.,,validado
eua,Q06,2,DISC-F97E2F85-01__eua_k12-computer-science-framework_2016.pdf,,,Students should be able to evaluate existing abstractions to determine which should be incorporated into designs and how they should be incorporated.,,validado
finlandia,Q01,1,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,2,,currículo nacional,validado
finlandia,Q01,2,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,1,,módulos de aprendizagem multidisciplinares,validado
finlandia,Q06,1,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,,1,"The core curriculum describes seven transversal competence areas. These epitomise the aims of education and reflect the competences needed in all spheres of life. Competence is constructed of knowledge, skills, values and will.",Evidência curricular,Validada
finlandia,Q06,2,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,,2,Multidisciplinary learning modules are tools for integrating learning and for increasing the dialogue between different subjects.,Evidência curricular,Validada
finlandia,Q06,3,DISC-C4B8BEF6-01__finlandia_new-national-core-curriculum-basic-education_2016.pdf,,1,The aim is that pupils will understand the relationship and interdependencies between different learning contents.,Evidência curricular,Validada
gana,Q01,1,DISC-C1510646-02__gana_computing-primary-b4-b6_2019.pdf,,,1. Creativity and innovation 2. Communication and collaboration 3. Cultural identity and global citizenship 4. Personal development and leadership 5. Digital literacy.,,Confirmado
gana,Q01,2,DISC-C1510646-01__gana_computing-common-core-programme-curriculum_2023.pdf,,,Creativity and Innovation promote the development of entrepreneurial skills in learners through their ability to think of new ways of solving problems and developing technologies for addressing the problem at hand.,,Confirmado
gana,Q01,3,DISC-C1510646-01__gana_computing-common-core-programme-curriculum_2023.pdf,,,"The Computing Curriculum is organised into strands, sub-strands, content standards, indicators and exemplars.",,Confirmado
gana,Q06,1,DISC-C1510646-02__gana_computing-primary-b4-b6_2019.pdf,DISC-C1510646-02__gana_computing-primary-b4-b6_2019.pdf,1,,Evidência curricular,Confirmada
gana,Q06,2,DISC-C1510646-01__gana_computing-common-core-programme-curriculum_2023.pdf,DISC-C1510646-01__gana_computing-common-core-programme-curriculum_2023.pdf,3,,Evidência curricular,Confirmada
gana,Q06,3,DISC-C1510646-01__gana_computing-common-core-programme-curriculum_2023.pdf,DISC-C1510646-01__gana_computing-common-core-programme-curriculum_2023.pdf,3,,Evidência curricular,Confirmada
hong-kong,Q01,1,DISCM-DISC-F59372F7-02__hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,,,"The ICT curriculum presents the overall aims, major targets and content of the curriculum. For each module or option, the following information is also provided: ...",,validada
hong-kong,Q01,2,DISCM-DISC-F59372F7-02__hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,,,"This module provides students with an understanding, and ethical analysis, of various issues arising from the use of ICT. These issues have economic, legal, social, ethical and security consequences.",,validada
hong-kong,Q01,3,DISCM-DISC-F59372F7-02__hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,,,The Compulsory Part comprises five modules: A. Information Processing ... Students will learn about: information systems and processes in real-life contexts; the difference between information and data; ...,,validada
hong-kong,Q06,1,DISC-F59372F7-01__hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,,104,"Progressive deepening of values education can be achieved by learning through life events, or case studies. This also develops students’ critical thinking skills.",evidence,validated
hong-kong,Q06,2,DISC-F59372F7-01__hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,,46,"global issues that are the common concerns of mankind (e.g. population problem, climate change issues)... the interdependence of different parts of the world (e.g. trade and cooperation agreements)",evidence,validated
hong-kong,Q06,3,DISC-F59372F7-01__hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,,17,Collaborative Problem Solving skills refers to students’ abilities to solve problems with synergised efforts...,evidence,validated
hong-kong,Q06,4,DISC-F59372F7-01__hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,,17,"Critical thinking skills, creativity and problem solving skills are conventionally categorised as higher order thinking skills.",evidence,validated
irlanda,Q01,1,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,20,"Students are encouraged to develop the knowledge, skills, attitudes, and values that will enable them to become independent learners...",Documentação Curricular,Validado
irlanda,Q01,2,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,12,The key skills of information processing; being personally effective; communicating; critical and creative thinking and working with others...,Documentação Curricular,Validado
irlanda,Q01,3,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,21,The practices and principles of computer science describe the behaviours and ways of thinking...,Documentação Curricular,Validado
irlanda,Q06,1,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,4,,Relevant,Valid
irlanda,Q06,2,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,5,,Relevant,Valid
irlanda,Q06,3,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,6,,Relevant,Valid
irlanda,Q06,4,DISC-F5A6B3FE-01__irlanda_computer-science-curriculum-specification_2018.pdf,,4,,Relevant,Valid
japao,Q01,1,DISC-D70D1055-02__japao_high-school-information-commentary_2022.pdf,DISC-D70D1055-02__japao_high-school-information-commentary_2022.pdf,21,情報技術を適切かつ効果的に活用する力を全ての生徒に育む共通必履修科目。,Currículo,confirmado
japao,Q01,2,DISC-D70D1055-02__japao_high-school-information-commentary_2022.pdf,DISC-D70D1055-02__japao_high-school-information-commentary_2022.pdf,50,適切な根拠を効果的に用いるとともに，相手の反論を想定し論理の展開を考える。,Currículo,confirmado
japao,Q01,3,DISC-D70D1055-01__japao_high-school-curriculum-guidelines_2022.pdf,DISC-D70D1055-01__japao_high-school-curriculum-guidelines_2022.pdf,6,情報社会の問題を主体的に発見し明確化し，解決策を考える活動を取り入れるもの。,Currículo,confirmado
japao,Q06,1,DISC-D70D1055-01__japao_high-school-curriculum-guidelines_2022.pdf,,71,,Evidência Curricular,Validada
japao,Q06,2,DISC-D70D1055-01__japao_high-school-curriculum-guidelines_2022.pdf,,34,,Evidência Curricular,Validada
japao,Q06,3,DISC-D70D1055-01__japao_high-school-curriculum-guidelines_2022.pdf,,176,,Evidência Curricular,Validada
nova-zelandia,Q01,1,DISC-0C95EF8C-01__nova-zelandia_dt-implementation-support-tool_2020.pdf,,,As escolas são exigidas a ter seu próprio currículo de Tecnologia. Os professores planejarão maneiras de vincular as áreas e procurar oportunidades de aprendizagem interdisciplinares.,,confirmado
nova-zelandia,Q01,2,DISC-0C95EF8C-01__nova-zelandia_dt-implementation-support-tool_2020.pdf,,,"A aprendizagem de tecnologias digitais é priorizada nos objetivos estratégicos e nos planos da escola, com um plano para avaliar o progresso.",,confirmado
nova-zelandia,Q06,1,DISC-0C95EF8C-01__nova-zelandia_dt-implementation-support-tool_2020.pdf,DISC-0C95EF8C-01__nova-zelandia_dt-implementation-support-tool_2020.pdf,7,,curricular evidence,validated
nova-zelandia,Q06,2,DISC-0C95EF8C-01__nova-zelandia_dt-implementation-support-tool_2020.pdf,DISC-0C95EF8C-01__nova-zelandia_dt-implementation-support-tool_2020.pdf,11,,curricular evidence,validated
quenia,Q01,1,DISC-84D1FDCE-01__quenia_basic-education-curriculum-framework_2017.pdf,,108,"Apply digital literacy skills for communication, learning and enjoyment.",currículo,validado
quenia,Q01,2,DISC-84D1FDCE-02__quenia_standards-digital-content-course-materials_cbc_2018.pdf,,22,Core Competencies for CBC: Digital Literacy,competências,validado
quenia,Q06,1,DISC-84D1FDCE-02__quenia_standards-digital-content-course-materials_cbc_2018,,24,"Global Citizenship; Peace Education, Integrity, ethnic and racial relations, social cohesion, patriotism and good governance, child’s rights and, child care and protection",Evidência curricular sobre cidadania global,validado
quenia,Q06,2,DISC-84D1FDCE-01__quenia_basic-education-curriculum-framework_2017,,131,"The acquisition of values and psychosocial competencies will avert the behavioural and values crisis in the country. To enhance the acquisition of core competencies, learners will engage in non-formal and informal activities in school and in the community.",Evidência sobre competências e valores,validado
quenia,Q06,3,DISC-84D1FDCE-01__quenia_basic-education-curriculum-framework_2017,,29,Apply creativity and critical thinking skills in problem solving.,Evidência sobre pensamento crítico,validado
reino-unido,Q01,1,G9Ai49VZ7zkiqKHZgQLoNL,,2,Pupils should be taught to: understand what algorithms are; how they are implemented as programs on digital devices; and that programs execute by following precise and unambiguous instructions...,currículo,validado
reino-unido,Q01,2,EsrpgmqzVGeb9uYWdSynbi,,2,A high-quality computing education equips pupils to use computational thinking and creativity to understand and change the world...,currículo,validado
reino-unido,Q06,1,DISC-2F6D7FF6-01__reino-unido_computing-curriculum_ks1-ks2_2014.pdf,,,Usar raciocínio lógico para prever o comportamento de programas simples e resolver problemas decomping-os em partes menores.,,Validado
reino-unido,Q06,2,DISC-2F6D7FF6-02__reino-unido_computing-curriculum_ks3-ks4_2014.pdf,,,"Desenvolver e aplicar habilidades de análise, resolução de problemas, design e pensamento computacional.",,Validado
ruanda,Q01,1,DISC-03A30163-01__ruanda_ict-syllabus.pdf,,1,"With the review of the ICT syllabus, these factors have been aligned with the competence-based curriculum for general education. This implies equipping students with relevant knowledge, skills, attitude and values necessary to make them competitive on local, regional and global job market.",curricular framework,validated
ruanda,Q01,2,DISC-03A30163-01__ruanda_ict-syllabus.pdf,,2,The ICT syllabus guides the interaction between the Teacher and students in the learning processes and highlights the competences a student should acquire during and at the end of each unit of learning.,curricular framework,validated
ruanda,Q01,3,DISC-03A30163-01__ruanda_ict-syllabus.pdf,,3,ICT in education is to be used to enhance teaching and learning and prepare citizens who will adapt in this newly created environment.,educational strategy,validated
ruanda,Q06,1,DISC-03A30163-01__ruanda_ict-syllabus.pdf,,,Develop critical thinking and logical reasoning through computer web designing as to come up with possible solutions in order to address different issues related to service delivery in the country and the region.,,Valido
ruanda,Q06,2,DISC-03A30163-01__ruanda_ict-syllabus.pdf,,,"Through observations, applying ICT skills, and presentation of information acquired during the learning process, the student will not only develop different ICT skills but also deductive and inductive skills, creativity and innovation skills, cooperation and communication, critical thinking and problem solving skills.",,Valido
singapura,Q01,1,X1Hkx66epmXoUTQvWg7BwV,,,"A estrutura da educação em computação compreende três dimensões: Computador como Ciência, Computador como Ferramenta, Computador na Sociedade.",,validada
singapura,Q01,2,X1Hkx66epmXoUTQvWg7BwV,,,"O pensamento computacional é um processo de pensamento que envolve raciocínio formal, pensamento lógico e algorítmico, e a reformulação de um problema para que uma solução baseada em computador seja viável.",,validada
singapura,Q06,1,DISC-FA172EFD-02__denitradu_olevelcomputingteach.pdf,DISC-FA172EFD-02__denitradu_olevelcomputingteach.pdf,4,,curricular,validado
singapura,Q06,2,DISC-FA172EFD-02__denitradu_olevelcomputingteach.pdf,DISC-FA172EFD-02__denitradu_olevelcomputingteach.pdf,18,,curricular,validado
suica,Q01,1,"DISC-841BC3E5-01__en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf",,,"Rechercher, analyser, évaluer l'information et créer des contenus médiatiques à l’aide d’outils adéquats, de manière citoyenne et responsable.",,Validado
suica,Q01,2,"DISC-841BC3E5-01__en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf",,,Tous les domaines disciplinaires se prêtent à l'usage des outils numériques. ... utilise les médias de manière responsable et citoyenne.,,Validado
suica,Q01,3,"DISC-841BC3E5-02__tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf",,,Espazi naturali di esercizio e sviluppo di questa competenza nell’ambito delle discipline.,,Validado
suica,Q06,1,"DISC-841BC3E5-01__en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf","plan d’études romand, éducation numérique",5,,evidência curricular,validada
suica,Q06,2,"DISC-841BC3E5-02__tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf","piano di studio, tecnologie e media",3,,evidência curricular,validada
suica,Q06,3,"DISC-841BC3E5-03__zh_de_modul_mi_suíça alemã — lehrplan 21, medien und informatik.pdf","lehrplan 21, medien und informatik",3,,evidência curricular,validada
taiwan,Q01,1,DISC-FD8711D3-01__taiwan_technology-domain-information-technology_2019.pdf,,3,,competência Comunicativa e Colaborativa,validado
taiwan,Q01,2,DISC-FD8711D3-01__taiwan_technology-domain-information-technology_2019.pdf,,30,,competência Tecnológica,validado
taiwan,Q06,1,taiwan_technology-domain-information-technology_2019.pdf,DISC-FD8711D3-01__taiwan_technology-domain-information-technology_2019.pdf,3,,Evidência curricular sobre pensamento crítico e resolução de problemas.,valid
taiwan,Q06,2,taiwan_technology-domain-information-technology_2019.pdf,DISC-FD8711D3-01__taiwan_technology-domain-information-technology_2019.pdf,5,,Evidência curricular sobre interdependência e questões globais.,valid
uruguai,Q01,1,DISC-4733A12C-03__uruguai_tecnologias-digitales_2023.pdf,,10,"CE2. Planifica, evalúa, crea y adapta soluciones tecnológicas con software o hardware, de forma individual o grupal, con el fin de resolver problemas considerando el impacto en la comunidad y el ambiente.",competências específicas,validado
uruguai,Q01,2,DISC-4733A12C-01__uruguai_en-el-camino-del-plan-ceibal_2009.pdf,,156,Las expectativas que han acompañado desde un principio la implementación de este Plan CEIBAL se han expresado de diferentes formas... procesos culturales que se habilitan a partir de esta innovación,contexto histórico,validado
uruguai,Q06,1,DISC-4733A12C-03__uruguai_tecnologias-digitales_2023.pdf,,1,,,
uruguai,Q06,2,DISC-4733A12C-02__uruguai_plan-ceibal-in-uruguay.pdf,,1,,,
