grupo,rank,termo,tfidf,documento_fonte,trecho
brasil,2,digital midiatica,0.03132833,brasil_guia-educacao-digital-midiatica_2025.pdf,"...da Educação Básica, tanto públicas quanto privadas. A proposta parte da necessidade de promover o uso seguro, pedagó- gico e equilibrado das tecnologias digitais,..."
brasil,3,portuguesa ensino,0.03034307,brasil_bncc_educacao-basica_completa_2018.pdf,"...a diversificação dos contextos permite o aprofundamento de práticas BASE NACIONAL COMUM CURRICULAR 64 de linguagem artísticas, corporais e linguísticas que se..."
brasil,4,praticas corporais,0.03004742,brasil_bncc_educacao-basica_completa_2018.pdf,"...simbolizar e o repertório imagético. (EF69AR02) Pesquisar e analisar diferentes estilos visuais, contextualizando-os no tempo e no espaço. (EF69AR03) Analisar situações..."
brasil,5,tematicas objetos,0.02964997,brasil_bncc_educacao-basica_completa_2018.pdf,...Competências específicas de Arte para o Ensino Fundamental........................................................198 4.1.2.1. Arte no Ensino Fundamental – Anos...
brasil,6,resolver elaborar,0.02953415,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
brasil,7,elaborar problemas,0.02946607,brasil_bncc_educacao-basica_completa_2018.pdf,"...não convencionais para fazer as comparações e medições, o que dá sentido à ação de medir, evi- tando a ênfase em procedimentos de transformação de unidades..."
brasil,8,producao textos,0.02899584,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
brasil,9,efeitos sentido,0.0284832,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
brasil,10,analise linguistica,0.02813668,brasil_bncc_educacao-basica_completa_2018.pdf,"...processo que alguns autores associam à criatividade. Parte do sentido de criati- vidade em circulação nos dias atuais (“economias criativas”, “cidades criativas” etc.) tem..."
canada,1,ontario,0.077607,canada_ontario_digital-action-plan.pdf,"...with users. Deliver together. Ontario’s path to simpler, faster, better government ontario.ca/digitalplan..."
canada,2,child care,0.06722784,canada_ontario_digital-action-plan.pdf,"...service holistically can solve the problem. Re-orienting ourselves to take a user-focused perspective will positively impact public sector policy-making, program..."
canada,3,estimates,0.0634598,canada_ontario_ministry-education-published-plan_2023-2024.html,"...footnote 2 [2] 36,423.1 Total operating and capital summary by vote Operating expense Votes/Programs Estimates 2023–24 $ Change from Estimates 2022–23 $ %..."
canada,4,action plan,0.06223488,canada_ontario_digital-action-plan.pdf,"...faster, better government ontario.ca/digitalplan 2 Ontario Digital Service | Action Plan Table of Contents Message from the Chief Digital Officer 2..."
canada,5,alberta,0.05727004,canada_alberta_draft-k6-science-update_2022.pdf,...out more at alberta.ca/curriculum ©2022 Government of Alberta | May 2022 | Page 1 of 4 |...
canada,6,mental health,0.05680987,canada_ontario_ministry-education-published-plan_2023-2024.html,...to help Grade&nbsp;9 and 10 students prepare for their transition to postsecondary education. Mental health supports To support student mental health and well-being...
canada,7,branch,0.05616647,canada_ontario_ministry-education-published-plan_2023-2024.html,"...Ministry organization chart Minister, Stephen Lecce Parliamentary Assistant, Patrice Barnes Deputy Minister, Nancy Naylor Executive Assistant, Vanessa..."
canada,8,funding,0.05554805,canada_ontario_ministry-education-published-plan_2023-2024.html,"...preliminary OnSIS data as of September&nbsp;21,&nbsp;2022. The ministry is providing funding for bursaries for students who are enrolled in a cooperative..."
canada,9,agile,0.05425393,canada_ontario_digital-action-plan.pdf,"...problems Using a “how might we” approach, we develop a hypothesis, research with users, design a prototype based on what we’ve discovered about our..."
canada,10,assistant,0.05305211,canada_ontario_ministry-education-published-plan_2023-2024.html,"...to the establishment and provision of special education programs and services for students with special education needs. Ministry organization chart Minister,..."
chile,1,bases curriculares,0.03807741,articles-140146_programa_feb_2021_final_s_disegno.pdf,...sus manos los Programas de Estudio de las 46 asignaturas del currículum ajustado a las nuevas Bases Curriculares de 3° y 4° año de enseñanza media (Decreto Supremo N°193...
chile,2,objetivos aprendizaje,0.03636061,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
chile,3,asignatura,0.03531468,articles-140146_programa_feb_2021_final_s_disegno.pdf,...saludarles y dirigirme a ustedes para poner en sus manos los Programas de Estudio de las 46 asignaturas del currículum ajustado a las nuevas Bases Curriculares...
chile,4,aprendizaje,0.03531396,articles-140146_programa_feb_2021_final_s_disegno.pdf,...DE APRENDIZAJE Y ACTIVIDADES DE EVALUACIÓN. ESTAS ACTIVIDADES ESTÁN ORGANIZADAS EN 4...
chile,5,educacion febrero,0.03500635,articles-140146_programa_feb_2021_final_s_disegno.pdf,...y ese tipo de fórmulas supone una saturación gráfica que puede dificultar la comprensión de la lectura. Programa de Estudio Pensamiento Computacional y Programación 3°...
chile,6,estudiantes,0.03482016,articles-140146_programa_feb_2021_final_s_disegno.pdf,...y el Ministerio de Educación no ha descansado en su afán de entregar herramientas de apoyo para que los estudiantes de Chile se conviertan en ciudadanos que...
chile,7,otros,0.03428245,articles-140146_programa_feb_2021_final_s_disegno.pdf,...por las propias acciones y decisiones con conciencia de las implicancias que estas tienen sobre uno mismo y los otros. Estos Programas de Estudio han sido...
chile,8,pensamiento computacional,0.03358738,articles-140146_programa_feb_2021_final_s_disegno.pdf,"...lo largo de sus vidas y que estarán preparados para ser un aporte a la sociedad. Les saluda cordialmente, Programa de Estudio Pensamiento Computacional..."
chile,9,computacional programacion,0.03319914,articles-91414_bases.pdf,"...convenciones discursivas de los textos que producirán. 4 Utilizar diversas estrategias para construir y transformar el conocimiento por escrito, en coherencia con los temas, los..."
chile,10,basico medio,0.03286882,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
coreia-do-sul,1,information service,0.06539677,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...in need of education policies. This Service is a consumer convenience-centered educational information service which allows users to receive real-time information, such as..."
coreia-do-sul,2,education offices,0.06208219,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...expand information on education-related programs of related ministries, municipal and provincial education offices and local governments through cooperation with related..."
coreia-do-sul,3,iru,0.06038957,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"..._7KH0LQLVWU\RI(GXFDWLRQ2SHQHGWKH,QWHJUDWHG6HDUFK6HUYLFHIRU(GXFDWLRQ$VVLVWDQFH3ROLF\Ď(GXFDWLRQ$VVLVWDQFHDWD*ODQFHď..."
coreia-do-sul,4,lifelong education,0.059632,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...Information on the development of ICT in education contents, operation of the teaching center and training of teachers on the project to activate e-learning of..."
coreia-do-sul,5,provincial education,0.05897831,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...plans to expand information on education-related programs of related ministries, municipal and provincial education offices and local governments through cooperation with..."
coreia-do-sul,6,notification,0.05824615,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...addressed. From the start of computer education, which was the cornerstone of ICT, to the background of ICT in education and the status and performance of ICT policy..."
coreia-do-sul,7,korea,0.05612891,coreia-do-sul_keris-white-paper-software-education_2018.pdf,...PAPER ON ICT IN EDUCATION KOREA 2018 summary WHITE PAPER ON ICT IN EDUCATION KOREA...
coreia-do-sul,8,project overview,0.05611893,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...policy includes STEM and computer science education in K-12 sectors, as well as internship programs and worker retraining programs in STEM and computer science-related..."
coreia-do-sul,9,disaster,0.05611381,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...Ceremony for the ‘Integrated Disater Recovery Center for Education Information System’ On November 19, the Ministry of Education held a groundbreaking..."
coreia-do-sul,10,asean,0.05498203,coreia-do-sul_keris-white-paper-software-education_2018.pdf,"...accounted for the highest proportion with 11,422 (9.4 percent), followed by life science with 9,751(8.0 percent), English literature with 9,706 (8.0..."
eua,1,crosscutting,0.05613658,eua_k12-computer-science-framework_2016.pdf,...5. Practices Including Computational Thinking ........................................................................65 6. Concepts...
eua,2,science framework,0.05353863,eua_k12-computer-science-framework_2016.pdf,...Computer Science Framework i K–12 Computer Science Framework Steering Committee CC BY-NC-SA 4.0. This...
eua,3,crosscutting concepts,0.05336392,eua_k12-computer-science-framework_2016.pdf,...5. Practices Including Computational Thinking ........................................................................65 6. Concepts Including...
eua,4,writers,0.05019009,eua_k12-computer-science-framework_2016.pdf,...The following states and districts participated in the development of the framework by nominating writers and providing feedback on the framework. States...
eua,5,concepts practices,0.04901997,eua_k12-computer-science-framework_2016.pdf,...provided to describe the subconcepts and summarize how learning progresses across multiple grade bands. How to Read the Concepts Figure 4.2: How to read the concepts Core...
eua,6,retrieved http,0.04845731,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
eua,7,districts,0.0480642,eua_k12-computer-science-framework_2016.pdf,"...Center, and National Math and Science Initiative in partnership with states and districts, informed the develop­ ment of this work.” Examples of programs and..."
eua,8,computing systems,0.04684424,eua_k12-computer-science-framework_2016.pdf,"...group of writers and advisors represents states and districts from across the nation, as well as a variety of academic perspectives and experiences working with diverse..."
eua,9,csta,0.04651246,eua_k12-computer-science-framework_2016.pdf,"...Machinery, Cameron Wilson of Code. org, Mark Nelson of the Computer Science Teachers Association (CSTA), Krystal Corbett of the Cyber Innovation Center, and..."
eua,10,science teachers,0.04606434,eua_k12-computer-science-framework_2016.pdf,"...Science Framework, led by the Association for Computing Machinery, Code.org, Computer Science Teachers Association, Cyber Innovation Center, and National Math and Science..."
finlandia,1,pupils,0.17665674,finlandia_new-national-core-curriculum-basic-education_2016.pdf,...New national core | FNBE/2016 Decision-makers Teachers Researchers Parents & pupils School culture Assesment Learning Local curriculum National core...
finlandia,2,core,0.11824983,finlandia_new-national-core-curriculum-basic-education_2016.pdf,...National Board of Education | New national core | FNBE/2016 Decision-makers Teachers Researchers Parents & pupils...
finlandia,3,basic education,0.11069001,finlandia_new-national-core-curriculum-basic-education_2016.pdf,...National core curriculum Relevant sectors New national core curriculum for basic education: focus on school culture and integrative approach A curricular...
finlandia,4,subjects,0.10642746,finlandia_new-national-core-curriculum-basic-education_2016.pdf,"...of les­ son hours, which states the minimum statutory lessons to be taught in different subjects. The main changes in the new distribution of lessons..."
finlandia,5,assessment,0.10446701,finlandia_new-national-core-curriculum-basic-education_2016.pdf,"...the objectives for the learning environment as well as principles for guidance, support, differentiation and assessment. Education providers, municipalities..."
finlandia,6,learning,0.10443517,finlandia_new-national-core-curriculum-basic-education_2016.pdf,...Decision-makers Teachers Researchers Parents & pupils School culture Assesment Learning Local curriculum National core curriculum Relevant sectors New...
finlandia,7,lessons,0.09950463,finlandia_new-national-core-curriculum-basic-education_2016.pdf,"...by a renewal of the distribution of les­ son hours, which states the minimum statutory lessons to be taught in different subjects. The main changes in..."
finlandia,8,curriculum,0.09768654,finlandia_new-national-core-curriculum-basic-education_2016.pdf,...Teachers Researchers Parents & pupils School culture Assesment Learning Local curriculum National core curriculum Relevant sectors New national core...
finlandia,9,school,0.09717613,finlandia_new-national-core-curriculum-basic-education_2016.pdf,...national core | FNBE/2016 Decision-makers Teachers Researchers Parents & pupils School culture Assesment Learning Local curriculum National core curriculum...
finlandia,10,these,0.095019,finlandia_new-national-core-curriculum-basic-education_2016.pdf,"...and their effect on children and young people, learning school work and life skills played an important part. The school must take these changes into..."
gana,1,nacca,0.08359368,gana_computing-common-core-programme-curriculum_2023.pdf,"...© NaCCA, Ministry of Education 2021 NATIONAL COUNCIL FOR CURRICULUM &..."
gana,2,nacca ministry,0.08179937,gana_computing-common-core-programme-curriculum_2023.pdf,"...© NaCCA, Ministry of Education 2021 NATIONAL COUNCIL FOR CURRICULUM & ASSESSMENT..."
gana,3,sub strand,0.07850233,gana_computing-common-core-programme-curriculum_2023.pdf,...1 STRAND 1: INTRODUCTION TO COMPUTING...
gana,4,exemplar,0.07770941,gana_computing-common-core-programme-curriculum_2023.pdf,"...stronger understanding and ultimately greater independence in the learning process. It involves breaking up the learning task, experience or concepts into..."
gana,5,guide learners,0.07255464,gana_computing-primary-b4-b6_2019.pdf,"...√ √ √ 4 Desktop Publishing Introduction to MS-Publisher √ √ √ xxi © NaCCA, Ministry of Education 2019 5 Programming and..."
gana,6,demonstrate how,0.06954165,gana_computing-common-core-programme-curriculum_2023.pdf,"...while speaking to a group. DL5.3: Ability to find and utilise digital content B7.1.1.1.4 Examine full-sized external hard drives, hard drive speed, disk caching,..."
gana,7,development leadership,0.06837075,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
gana,8,innovation communication,0.06794189,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
gana,9,standards indicators,0.06772216,gana_computing-common-core-programme-curriculum_2023.pdf,"...plan lessons to meet the interests, knowledge, understanding, abilities and experiences of learners. • work together as colleagues within and across disciplines and grade..."
gana,10,indicators exemplars,0.06727148,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
hong-kong,1,generic skills,0.05373203,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...they can gain a better understanding of themselves, society, the country and the world. • arouses students’ interests in learning, enables them to learn effectively..."
hong-kong,2,learning elements,0.05261077,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...GS Curriculum Guide. Measures may include: • adjusting the learning objectives according to students’ needs, interests and abilities • establishing a teaching team..."
hong-kong,3,edb,0.05097774,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...principals, teachers, students and the public at large. A series of school briefing cum feedback collection sessions coupled with a territory-wide school..."
hong-kong,4,senior secondary,0.04855077,hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,...a School-based Resource Bank 100 6.5.2 Sharing Resources 101 6.5.3 Accessing Resources 101 6.5.4 Inventories of Computer Equipment 101 6.6...
hong-kong,5,elective,0.04727771,hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,...Pathways 3 1.5 Cross-Curricular Links 4 Chapter 2 Curriculum Framework 5 2.1 Design Principles 5 2.2 Learning Targets 5 2.3 Curriculum...
hong-kong,6,learning targets,0.04663567,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...2011 version. It presents the updated curriculum framework which specifies GS’s curriculum aims, learning targets and objectives, delineates the direction of ongoing..."
hong-kong,7,project learning,0.04511073,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...GS Curriculum Planning 70 3.2 Curriculum Planning, Implementation and Evaluation 72 3.2.1 Curriculum Planning Process 73 3.2.2 Use..."
hong-kong,8,compulsory part,0.04478342,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...technology, some schools have established professional teams to promote e-Learning. They devise learning plans and make good use of e-resources. Furthermore, these..."
hong-kong,9,ks1,0.04448806,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,...Learning Communities and Sharing Resources 77 3.3.3 Professional Development of Teachers 78 vii 3.4 Directions of...
hong-kong,10,wide learning,0.04448806,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,"...of learning, helping students learn how to learn. • Owing to technological advancement, schools have sufficient equipment to promote e-learning. •..."
irlanda,1,learning tasks,0.08288096,irlanda_computer-science-curriculum-specification_2018.pdf,.... . . . . . . . 10 Strand 3: Computer science in practice . . . . . . . . . . 10 Key skills of senior cycle . . . . . . . . . . . . 12...
irlanda,2,science curriculum,0.08113681,irlanda_computer-science-curriculum-specification_2018.pdf,...Science Curriculum Specification LEAVING CERTIFICATE Ordinary and Higher Level UPDATED 2023...
irlanda,3,applied learning,0.0743443,irlanda_computer-science-curriculum-specification_2018.pdf,.... . . . . . . . . . 10 Strand 3: Computer science in practice . . . . . . . . . . 10 Key skills of senior cycle . . . . . . . . . . . . 12...
irlanda,4,core concepts,0.07373021,irlanda_computer-science-curriculum-specification_2018.pdf,.... . . . . . . . . . . . . . . . . . . . 8 Further study . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ....
irlanda,5,leaving,0.07354716,irlanda_computer-science-curriculum-specification_2018.pdf,...Science Curriculum Specification LEAVING CERTIFICATE Ordinary and Higher Level UPDATED 2023 Contents Introduction...
irlanda,6,computer science,0.07346968,irlanda_computer-science-curriculum-specification_2018.pdf,...Science Curriculum Specification LEAVING CERTIFICATE Ordinary and Higher Level...
irlanda,7,certificate,0.07136966,irlanda_computer-science-curriculum-specification_2018.pdf,...Science Curriculum Specification LEAVING CERTIFICATE Ordinary and Higher Level UPDATED 2023 Contents Introduction . . . ....
irlanda,8,specification,0.07134809,irlanda_computer-science-curriculum-specification_2018.pdf,...Science Curriculum Specification LEAVING CERTIFICATE Ordinary and Higher Level UPDATED 2023 Contents...
irlanda,9,computing technology,0.07027485,irlanda_computer-science-curriculum-specification_2018.pdf,.... . 24 Structure of assessment for certification . . . . . . 25 End-of-course examination . . . . . . . . . . . . . . . . . . . . . 25...
irlanda,10,strand,0.06931878,irlanda_computer-science-curriculum-specification_2018.pdf,.... . . . 8 Senior cycle . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8 Further study . ....
japao,1,指導項目,0.15354601,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,2,については,0.14686082,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,3,指導項目 については,0.13376627,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,4,その際,0.12763726,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,5,考え方を働かせ,0.12631473,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,6,内容の取扱い,0.12369864,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,7,のアについては,0.12223585,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,8,内容の,0.12204452,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,9,指導項目 のアについては,0.12165575,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
japao,10,判断力,0.12159015,japao_high-school-curriculum-guidelines_2022.pdf,...年3 月 告示 高等学校 学習指導要領（平成30 年告示） 1 教育基本法 ………………………………………………… 学校教育法（抄）...
marrocos,1,االطفال,0.05249702,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,2,عىل,0.05239119,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,3,الطفل,0.04974827,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,4,اىل,0.04619311,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,5,على,0.0461898,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,6,اللعبة,0.04534567,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,7,اللعب,0.04467836,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,8,الدليل,0.04409002,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,9,البيداغوجي,0.04360246,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
marrocos,10,املربية,0.04316544,190931mul.pdf,...ﻣﺎدة اﻹﻋﻼﻣﻴﺎت ﻣﻘﺪﻣﺔ : ﺑﻨﺎءا ﻋﻠﻰ ﻣﻮاﺻﻔﺎت اﻟﻤﺘﺨﺮج ﻣﻦ اﻟﺴﻠﻚ...
nova-zelandia,1,level level,0.11454563,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
nova-zelandia,2,digital technologies,0.1076524,nova-zelandia_dt-implementation-support-tool_2020.pdf,...SUPPORT TOOL Digital technologies in the revised Technology Learning Area Is your school ready to teach...
nova-zelandia,3,technology learning,0.10321952,nova-zelandia_dt-implementation-support-tool_2020.pdf,...SUPPORT TOOL Digital technologies in the revised Technology Learning Area Is your school ready to teach this from 2020? Supporting a...
nova-zelandia,4,learning area,0.09127425,nova-zelandia_dt-implementation-support-tool_2020.pdf,...SUPPORT TOOL Digital technologies in the revised Technology Learning Area Is your school ready to teach this from 2020? Supporting a future-focused...
nova-zelandia,5,your,0.09063007,nova-zelandia_dt-implementation-support-tool_2020.pdf,...SUPPORT TOOL Digital technologies in the revised Technology Learning Area Is your school ready to teach this from 2020? Supporting a future-focused...
nova-zelandia,6,professional learning,0.08182911,nova-zelandia_dt-implementation-support-tool_2020.pdf,...#5 • have talked to other schools about their plans or what they are already doing and are encouraging your teachers to do the same. You have also talked to other local...
nova-zelandia,7,exemplars,0.08165539,nova-zelandia_dt-implementation-support-tool_2020.pdf,...that are available and decided which ones look relevant for your school. (The Ministry of Education offers a professional support package here...
nova-zelandia,8,you,0.08009159,nova-zelandia_dt-implementation-support-tool_2020.pdf,...SUPPORT TOOL Digital technologies in the revised Technology Learning Area Is your school ready to teach this from 2020? Supporting a future-focused...
nova-zelandia,9,you have,0.07753226,nova-zelandia_dt-implementation-support-tool_2020.pdf,...when and why to use specific digital technologies to achieve a specific task or solve problems. A digitally capable person can create their own digital...
nova-zelandia,10,strands,0.07607812,nova-zelandia_dt-implementation-support-tool_2020.pdf,...languages; Mathematics and statistics; Science; Social sciences; Technology. Official languages. How digital technologies fit 1 1 Curriculum levels 1–8 11...
